Year,Predicted kWh price,zone1,zone2,zone3,zone4
2024,0.83,0.76,0.77,0.84,0.95
2025,0.86,0.79,0.8,0.87,0.98
2026,0.89,0.83,0.84,0.9,1.01
2027,0.93,0.86,0.87,0.94,1.05
2028,0.96,0.9,0.91,0.97,1.08
2029,1.0,0.93,0.94,1.01,1.12
2030,1.04,0.97,0.98,1.05,1.15
2031,1.08,1.01,1.02,1.09,1.19
2032,1.12,1.05,1.06,1.12,1.23
2033,1.16,1.09,1.1,1.17,1.27
2034,1.2,1.13,1.14,1.21,1.31
2035,1.24,1.17,1.18,1.25,1.36
2036,1.28,1.22,1.23,1.29,1.4
2037,1.33,1.26,1.27,1.34,1.45
2038,1.37,1.31,1.32,1.38,1.49
2039,1.42,1.35,1.37,1.43,1.54
2040,1.47,1.4,1.41,1.48,1.59
2041,1.52,1.45,1.46,1.53,1.64
2042,1.57,1.5,1.51,1.58,1.69
2043,1.62,1.55,1.56,1.63,1.74
2044,1.67,1.6,1.62,1.68,1.79
2045,1.72,1.66,1.67,1.73,1.84
2046,1.78,1.71,1.72,1.79,1.9
2047,1.83,1.77,1.78,1.84,1.95
2048,1.89,1.82,1.83,1.9,2.01
2049,1.95,1.88,1.89,1.96,2.06
2050,2.01,1.94,1.95,2.02,2.12
2051,2.07,2.0,2.01,2.07,2.18
2052,2.13,2.06,2.07,2.14,2.24
2053,2.19,2.12,2.13,2.2,2.3
